Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.8785834738617201,0.8475428271373382,0.8771868193634511
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8785834738617201,0.8478871761082176,0.8757113749736528
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8782321528948848,0.8477653875519221,0.8766247453101946
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.8780916245081506,0.8458179738972611,0.874798004637111
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8780213603147836,0.8464954415423754,0.874868263893768
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.8780213603147836,0.8438143887052736,0.8753600786903675
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8779510961214165,0.8453195292131301,0.875992412000281
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8778105677346824,0.8461642079536491,0.8749385231504251
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.8778105677346824,0.8459209115984739,0.8753600786903675
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.8777403035413154,0.8477285682222071,0.8760626712569382
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8776700393479483,0.84736911851316,0.87697604159348
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8775997751545812,0.8453153379059892,0.875992412000281
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8775997751545812,0.8479098773507218,0.8766950045668517
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8775295109612141,0.847104725243573,0.8753600786903675
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.8775295109612141,0.8472262530965537,0.8765544860535376
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8774592467678471,0.8452690530405307,0.8752195601770534
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.8773889825744801,0.8465864871616051,0.8769057823368229
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8773889825744801,0.84684492436315,0.8764842267968805
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8773889825744801,0.8487713814821072,0.8776083749033935
