Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8600337268128162,0.7915653132394449,0.8602543385090986
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8582771219786397,0.8143282622126669,0.8554767090564181
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8575744800449691,0.8049432637391849,0.8561090423663318
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.857504215851602,0.7632794848630842,0.8486615611606829
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8537099494097807,0.8236407450563834,0.8530176350734209
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8482293423271501,0.8158018375653102,0.844305487247945
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.8475267003934794,0.8116579784278836,0.8436028946813743
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8432405845980888,0.8243011065532149,0.8462024871776856
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8394463181562676,0.8033545176836263,0.8383334504320944
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8369168071950533,0.8244893744548292,0.8331342654394717
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8360033726812817,0.8189011186819354,0.8329937469261576
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8359331084879146,0.8046542640874846,0.8308157099697885
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8355817875210793,0.7364343230593767,0.8392468207686362
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8351602023608768,0.8143115972546096,0.8272324878802783
