Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.859752670039348,0.8086492215238583,0.8336260802360711
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.858628442945475,0.8252804485829691,0.7632263050656924
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.001}",0.8553260258572232,0.8147909905426464,0.812899599522237
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8552557616638561,0.8188888656261315,0.8490831167006253
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8485103991006183,0.8036986260052921,0.8450080798145155
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8478077571669477,0.7513764533407645,0.8463430056909997
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8467537942664418,0.7066030654859454,0.6709056418183096
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.0001}",0.84464586846543,0.8273502724710615,0.8174664512049462
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8430297920179877,0.8167310443421846,0.7874657486123797
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.8430297920179877,0.775591599994802,0.8396683763085786
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8412029229904441,0.803173790124045,0.8337665987493852
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8409218662169758,0.8117027191275537,0.8060141923698447
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.8408516020236088,0.801348606215905,0.7281669359938172
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8405705452501405,0.8229371469174681,0.8351717838825266
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.8389544688026982,0.8043066462981172,0.771516897351226
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.8368465430016864,0.8190698137808253,0.8318695988196445
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8367762788083193,0.822771078905829,0.7580973793297267
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8348791455874086,0.8021320998938095,0.4705262418323614
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.8340359752670039,0.8227332167628542,0.8103702662825827
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8336143901068016,0.8171120121017676,0.8046792664933605
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.8326306913996627,0.8218362770347333,0.8076301552729572
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8319280494659921,0.8257166653912259,0.8006744888639078
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8318577852726251,0.8136354732342725,0.8094568959460409
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8312254075323215,0.8247183120735795,0.8118457106723811
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8310848791455874,0.8138079786123813,0.8244221176139956
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.830593029792018,0.8238880722858899,0.8105810440525539
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8296795952782462,0.8122653369353708,0.8204875992412001
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8284851039910062,0.8331014678158148,0.7954753038712851
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.8271500843170321,0.8312590975429875,0.7994800815007377
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001}",0.8271500843170321,0.8376936764926949,0.7949834890746856
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8253232152894885,0.8300890009030762,0.8211199325511136
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.8251124227093873,0.8132525802809789,0.8249841916672521
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.823707138842046,0.8308035485812205,0.7704630085013701
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.01}",0.822372119168072,0.8304121326349373,0.7601348977727815
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001}",0.8211776278808319,0.7868608617584174,0.8169746364083468
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8206857785272625,0.8059053592419485,0.6852385301763507
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.8205452501405284,0.8253137383908814,0.778051008220333
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001}",0.8204047217537943,0.789917828721612,0.7200871214782547
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.8202641933670601,0.827150232812071,0.7958968594112275
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.820193929173693,0.824180982487315,0.7964589334644839
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8184373243395165,0.8333485343420065,0.7665987493852315
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8182967959527825,0.8191870099479572,0.7850066746293825
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.0001}",0.8180860033726813,0.8223260382930655,0.7929459706316307
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8179454749859472,0.7614956324574184,0.7145366402023466
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.8172428330522765,0.8221738677735246,0.7884493782055786
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8169617762788083,0.8357442774820198,0.8114241551324387
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.814221472737493,0.8380846512487528,0.7689875641115717
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001}",0.8132377740303541,0.8345192326049524,0.7706035270146842
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.01}",0.8129567172568859,0.8307328177664577,0.7520550832572191
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.01}",0.8126053962900506,0.8338010952427021,0.7842338228061547
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0003, 'weight_decay': 0.001}",0.8125351320966835,0.834515482488037,0.7567624534532424
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.8121838111298483,0.8375367531511811,0.7737651935642521
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.8114811691961776,0.8351275136010925,0.8010257851471931
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001}",0.8113406408094435,0.8033208869559945,0.78339071172627
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.8109893198426082,0.821990974371019,0.8054521183165883
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.8102866779089376,0.8305671909450438,0.7949132298180285
SimpleMLP,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.001}",0.8100056211354694,0.829550528233046,0.8069978219630436
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.01}",0.809584035975267,0.8255348749642837,0.794421415021429
