Q_num,Var_Name,Type,New Variable Name,Q_Scale,Unnamed: 5
Q1P,Important in life: Family,Ordinal,belonging1,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q2P,Important in life: Friends,Ordinal,belonging2,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q3P,Important in life: Leisure time,Ordinal,esteem1,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q4P,Important in life: Politics,Ordinal,civic1,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q5P,Important in life: Work,Ordinal,esteem2,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q6P,Important in life: Religion,Ordinal,belonging3,"4=Very important 
3=Rather important 
2=Not very important 
1=Not important at all ",
Q7P,Important child qualities: Good manners,Binary,trust1,"1=Mentioned 
0=Not mentioned",
Q8P,Important child qualities: Independence ,Binary,growth1,"1=Mentioned 
0=Not mentioned",
Q9P,Important child qualities: Hard work,Binary,growth2,"1=Mentioned 
0=Not mentioned",
Q10P,Important child qualities: Feeling of responsibility,Binary,civic2,"1=Mentioned 
0=Not mentioned",
Q11P,Important child qualities: Imagination,Binary,growth3,"1=Mentioned 
0=Not mentioned",
Q12P,Important child qualities: Tolerance and respect for other people,Binary,ethical1,"1=Mentioned 
0=Not mentioned",
Q13P,Important child qualities: Thrift saving money and things,Binary,ethical2,"1=Mentioned 
0=Not mentioned",
Q14P,Important child qualities: Determination perseverance ,Binary,growth4,"1=Mentioned 
0=Not mentioned",
Q15P,Important child qualities: Religious faith,Binary,growth5,"1=Mentioned 
0=Not mentioned",
Q16P,Important child qualities: Unselfishness,Binary,ethical3,"1=Mentioned 
0=Not mentioned",
Q17P,Important child qualities: Obedience ,Binary,ethical4,"1=Mentioned 
0=Not mentioned",
Q18P,Neighbors: Drug addicts,Binary,ethical5,"1=Mentioned 
0=Not mentioned",
Q19P,Neighbors: People of a different race,Binary,ethical6,"1=Mentioned 
0=Not mentioned",
Q20P,Neighbors: People who have AIDS ,Binary,ethical7,"1=Mentioned 
0=Not mentioned",
Q21P,Neighbors: Immigrants/foreign workers,Binary,ethical8,"1=Mentioned 
0=Not mentioned",
Q22P,Neighbors: Homosexuals,Binary,ethical9,"1=Mentioned 
0=Not mentioned",
Q23P,Neighbors: People of a different religion,Binary,ethical10,"1=Mentioned 
0=Not mentioned",
Q24P,Neighbors: Heavy drinkers ,Binary,ethical11,"1=Mentioned 
0=Not mentioned",
Q25P,Neighbors: Unmarried couples living together  ,Binary,ethical12,"1=Mentioned 
0=Not mentioned",
Q26P,Neighbors: People who speak a different language ,Binary,ethical13,"1=Mentioned 
0=Not mentioned",
Q27P,One of main goals in life has been to make my parents proud ,Ordinal,esteem3,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q28P,Pre-school child suffers with working mother,Ordinal,belonging4,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q29P,Men make better political leaders than women do,Ordinal,ga_leaders_male_better,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q30P,University is more important for a boy than for a girl ,Ordinal,ga_edu_male_priority,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q31P,Men make better business executives than women do,Ordinal,ga_exec_male_better,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q32P,Being a housewife just as fulfilling ,Ordinal,esteem4,"4=Strongly agree 
3=Agree 
2=Disagree 
1=Strongly disagree ",
Q33P,Jobs scarce: Men should have more right to a job than women,Ordinal,ga_jobs_male_priority,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q34P,Jobs scarce: Employers should give priority to (nation) people than immigrants ,Ordinal,emp_prior_immig,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q35P,Problem if women have more income than husband,Ordinal,ga_income_woman_problem,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q36P,Homosexual couples are as good parents as other couples ,Ordinal,ethical14,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q37P,Duty towards society to have children,Ordinal,civic3,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q38P,It is children duty to take care of ill parent,Ordinal,civic4,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q39P,People who don ́t work turn lazy ,Ordinal,ethical15,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q40P,Work is a duty towards society,Ordinal,civic5,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q41P,Work should  always come first even if it means less spare time,Ordinal,civic6,"5=Strongly agree 
4=Agree 
3=Neither agree, nor disagree 
2=Disagree 
1=Strongly disagree ",
Q42,Basic kinds of attitudes concerning society,Nominal,society_concern,"1.- The entire way our society is organized must be radically changed by revolutionary 
action 
2.- Our society must be gradually improved by reforms  
3.- Our present society must be valiantly defended against all subversive forces  ",
Q43P,Future changes: Less importance placed on work ,Ordinal,growth6,"3=Good 
2=Don’t mind 
1=Bad",
Q44P,Future changes: More emphasis on technology,Ordinal,growth7,"3=Good 
2=Don’t mind 
1=Bad",
Q45P,Future changes: Greater respect for authority  ,Ordinal,growth8,"3=Good 
2=Don’t mind 
1=Bad",
Q46P,Feeling of happiness ,Ordinal,happy,"4=Very happy 
3=Rather happy 
2=Not very happy 
1=Not at all happy",
Q47P,State of health (subjective),Ordinal,physio1,"5=Very good 
4=Good 
3=Fair 
2=Poor 
1=Very poor ",
Q48,How much freedom of choice and control,Ordinal,esteem5,"10.- A great deal 
9.- 9 
8.- 8 
7.- 7 
6.- 6 
5.- 5 
4.- 4 
3.- 3 
2.- 2 
1.- None at all",
Q49,Satisfaction with your life,Ordinal,sact,"10.- Completely satisfied 
9.- 9 
8.- 8 
7.- 7 
6.- 6 
5.- 5 
4.- 4 
3.- 3 
2.- 2 
1.- Completely dissatisfied ",
Q50,Satisfaction with financial situation of household ,Ordinal,safety1,"10.- Satisfied 
9.- 9 
8.- 8 
7.- 7 
6.- 6 
5.- 5 
4.- 4 
3.- 3 
2.- 2 
1.- Dissatisfied",
Q51P,Frequency you/family (last 12 month): Gone without enough food to eat ,Ordinal,physio2,"4=Often 
3=Sometimes 
2=Rarely 
1=Never",1.0
Q52P,Frequency you/family (last 12 month): Felt unsafe from crime in your own home,Ordinal,safety2,"4=Often 
3=Sometimes 
2=Rarely 
1=Never",1.0
Q53P,"Frequency you/family (last 12 month): Gone without needed medicine or treatment 
that you needed",Ordinal,physio3,"4=Often 
3=Sometimes 
2=Rarely 
1=Never",1.0
Q54P,Frequency you/family (last 12 month): Gone without a cash income,Ordinal,safety3,"4=Often 
3=Sometimes 
2=Rarely 
1=Never",1.0
Q55P,"In the last 12 month, how often have you or your family: Gone without a safe shelter 
over your head",Ordinal,safety4,"4=Often 
3=Sometimes 
2=Rarely 
1=Never ",
Q56P,Standard of living comparing with your parents,Ordinal,esteem6,"3=Better off 
1=Worse off 
2=Or about the same",
Q57P,Most people can be trusted,Ordinal,trust2,"1=Can’t be too careful 
2=Most people can be trusted ",
Q58P,How much you trust: Your family,Ordinal,trust3,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
